20 02:41:35.013  INFO  main DataIfaceMgr getData[153] Calling ADAM_VAR s/power/status/S3Enable_state
20 02:41:35.075  INFO  main ConnectionHandler run: Completed processing request 8
20 02:41:39.207  INFO  main ConnectionHandler nextRequest: request (9) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=39
20 02:41:39.209  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetFreeSpace
20 02:41:39.209  INFO  main FuncIface getValue[381] Call Function RP_GetFreeSpace
20 02:41:39.209  INFO  main FuncIface FunctionInterface::RP_GetFreeSpace
20 02:41:39.211  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetImages
20 02:41:39.211  INFO  main FuncIface getTable[586] Call Function RP_GetImages
20 02:41:39.220  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetUrlImages
20 02:41:39.220  INFO  main FuncIface getTable[586] Call Function RP_GetUrlImages
20 02:41:39.223  INFO  main DataIfaceMgr getData[179] Calling ADAM_TABLE s/sessions/status/activesessionstbl/index,uname,session_type,session_address
20 02:41:39.249  INFO  main ConnectionHandler nextRequest: request (7) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:39.252  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:39.253  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:39.254  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:39.255  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
20 02:41:39.257  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC immRemoteControl
20 02:41:39.257  INFO  main FuncIface getValue[381] Call Function immRemoteControl
20 02:41:39.258  INFO  main FuncIface FunctionInterface::immRemoteControl
20 02:41:39.263  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetSessionList
20 02:41:39.264  INFO  main FuncIface getTable[586] Call Function RP_GetSessionList
20 02:41:39.277  INFO  main ConnectionHandler run: Completed processing request 7
20 02:41:39.388  INFO  main ConnectionHandler nextRequest: request (8) https:::ffff:141.1.194.254 User=USERID Type=0 Priv=0x2 length=44
20 02:41:39.391  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptConf
20 02:41:39.391  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptConf
20 02:41:39.393  INFO  main DataIfaceMgr getData[239] Calling AIM_FUNC RP_GetPreemptTimeout
20 02:41:39.393  INFO  main FuncIface getValue[381] Call Function RP_GetPreemptTimeout
